01000011000101001111100001101110 11011001110100101100110000111001 01101101010000
00101011011000001101111101111000 10010011000011100011010111101111 01110110110000
11100010100000110001000011010010 01101001101100101110101000001101 10010001110000
10000110100101000001100001010110 10010100001001111011001000111010 01001100010000
11001100011111000101010111101100 00011010001111110010001110101001 01011001000000
00000101001001001110100010010101 11001101100101111000000010011100 01101010100000
00101010110101110000111001000101 00100101010100010100111100110100 00110111010000
01000101011110011011111100001100 10111111011101011000111011000010 01011001010000
10010100011101101001110001010111 11101000011111100101110011101100 01001100010000
10101010101010100010100000000111 00001001110110010011000111011001 01101010110000
01100101100100001001011110101000 11000100111100111101110100110001 01011111110000
10011101100010010001111001011011 00001100010100010001000011101110 01011010100000
01100011000010100001111101010000 01010100010011111001110010001010 01000010110000
01110110011000011001001111101001 11100011000001101110001111010110 01001010110000
11111111100110000101101011001100 00100000100110011110111001000001 01111111110000
10010010010001001011011111010101 10010001111100000000000101011011 01110111010000
00100111110101001010001101111111 01111001110010000000001100011101 01011000000000
01101110011100101101011010101000 00111111111001111001111010011100 00111010000000
00001000100111111111011010101000 10011100111101001100101010101010 01000101110000
00101101111010000010100001111101 00111000000010111101110111000111 01111001110000
01010000001010110110010010011101 00100011001100011011001000001000 01000101100000
11101100010111001101000011011101 01001010000010111000101001001001 01110011010000
11110110101111001100101000111101 11110110101011001011110000110111 00001001000000
11110110111100001100111111010011 10111001111101110110000110000101 01000000000000
11100010011100100110101001011100 01000101110011110011000110001101 01011001000000
01000111011101110010101010101101 11000110011001101100101000100110 01101101110000
01100000110010100000010010011101 01000000000010110001010010011001 00111100110000
01010111100100011101111000100010 01001001111010011110100000101111 00011111010000
01000111100010010001000111000001 01110010001100100001111000010010 01001111100000
10100101101000111100001011111011 01010001110111000101111111010101 01000101100000
00101101001010101000100111010110 00110001110011001000010110000110 00111110100000
11100110001011000001000100010011 01110110001111001110011000110100 01011101100000
11000100111010011001010010111000 00011100101111110000001001000111 01110101010000
01011001011010001010000111010110 11001010110100101010001010101100 01000001100000
01101010110100111100001110011000 11001001100000101010000000101110 01001111010000
10001111001110001011001100010001 00100001011110100001100101100110 01100111110000
10110001011000000010000000000010 00001000001011000101010000010010 01001000010000
00010011101100000001000010011100 01001100011110101010101100011111 01100001110000
11111111000100100110100110100110 00010010110110011001001010010101 01111011100000
11111000010010001000110111110011 01001100110001011110001001010011 10000111100000
01011001000100001010010111000010 01101011101001111010110010000101 00111011010000
00110111111101101000010110000011 01111000000100011101111011100111 01111000110000
10110100001111110000010111010101 11110100110100100010101011110111 01000110100000
00101100111011111110111011010001 10101111111010011011101011001101 00110000010000
10010000100011001011101010000100 01110111001111111011000110110100 00100111110000
10110101110001100111111110110111 11001110110010000010110011010000 00100001110000
10111001001100000111000110100011 00010000001101000011111101111100 01000001100000
01101101010110010110010111001101 00101101010111111011101101011001 01000100000000
10010100000100010100001001101110 11010000000011111111000111101000 01011001110000
11001011011110001001000101001011 00010000111011100011010101000101 01100100110000
